"isopropyl","(1-methylethyl)"
"isopren","2-methyl-buta-1,3-dien"
"succinimid","4-oxo-4-butanlactam"
"stibin","monostiban"
"diazonium",*diazonium"
"diazo","*diazo"
"serin","2-aminopropansaeure"
"furan","1-oxol"
"pyridin","azabenzen"
"pyrimidin","1,3-diazabenzen"
"imidazol","1,3-diazacyclopenta-2,4-dien"
"inden","cyclopenta-1,3-dieno(a)phen"
"naphtalin","pheno(a)phen"
"biphenylen","pheno(a)pheno(c)cyclobuta-1,3-dien"
"fluoren","pheno(a)pheno(c)cyclopenta-1,3-dien"
"phenanthren","pheno(a)pheno(c)phen"
"anthracen","pheno(a)pheno(d)phen"
"triphenylen","pheno(a)pheno(c)pheno(e)phen"
"chrysen","(pheno(b)pheno(a))pheno(e)phen"
"naphacen","(pheno(c)pheno(a))pheno(d)phen"
"picen","(pheno(d)pheno(a))(pheno(b)pheno(c))phen"
"pentaphen","(pheno(c)pheno(a))(pheno(c)pheno(c))phen"
"naphtyl","(pheno(b)phenyl)"
"fur","1-oxacyclopenta-1,3-dien"
"naphthalen","naphtalin"
"naphthol","hydroxynaphtalin"
"napht","naphtalin"
"phenolphthalin","3,3-bis(4-hydroxyphenyl)phthalid"
"phenol","hydroxybenzol"
"sulfonphthalein","1,1-dioxo-4-oxa-3-thiabenzo(a)cyclopenten"
"phthalid","4-oxabenzo(a)cyclopenten-1-on"
"sudan i","1-phenylazo-2-naphthol"
"sudan ii","1-(2,4-dimethylphenylazo)-napht-2-ol"
"sudan iii","1-({4-((phenyl)diazenyl) phenyl}diazenyl)napht-2-ol"
"sudan iv","1-({2-methyl-4-((2-methylphenyl)diazenyl) phenyl}diazenyl)napht-2-ol"
"thiophen","thia-cyclopenta-2,4-dien"
"phthalazin","4,5-diaza-naphten"
